Type,Rated_speed (rpm),Number_of _cylinders,Bore_Stroke,Cooling_system,Power_kW,Compression_ratio,Fuel_type,CO%,CO2%,Nox_ppm,HC_ppm,Flash_point(degrees Celsius),Kinematic_viscosity_at_40_degrees_Celsius_mm2/s,Density_kg/m3,Calorific_value_MJ/kg
"Single cylinder, 4-stroke, DI",1400,1,105 x 115,Water cooled,11.03,16.5,Diesel,0.14,7.5,502,16,67,2.7,820,42.5
"Single cylinder, 4-stroke, DI.1",1600,1,105 x 115,Water cooled,11.03,16.5,Diesel,0.1,7.9,509,15,67,2.7,820,42.5
"Single cylinder, 4-stroke, DI.2",2000,1,105 x 115,Water cooled,11.03,16.5,Diesel,0.09,8,513,13,67,2.7,820,42.5
4 Stroke DI diesel engine,2400,1,92 x 96,Radiator cooling,7.7,17.7,Diesel,0.69,1.4,398,39,77,3.6,832,44.66
4 stroke_4 cylinder.6,2800,4,84 x 100,Water cooled,35.8,22.5,Diesel,0.04,13,449,19,58,3.8,815,43.35
4 stroke_4 cylinder.6.1,1800,4,84 x 100,Water cooled,35.8,22.5,Diesel,0.09,12.6,436,59,58,3.8,815,43.35
"Single-cylinder, four-stroke diesel engine",1500,1,110 x 87.5,Water cooled,5.2,17.5,Diesel,0.31,3.3,460,38,71,2.3,820,42
Kirloskar Oil Engine Limited.1,1500,1,80 x 180,Water cooled,3.73,14.6,Diesel,0.11,5.4,483,30,58,2.9,825,43.84
Diesel engines,1800,4,110 x 130,Water cooled,46.5,17,Diesel,0.14,3.9,478,51,61,2.49,843,45.9
Isuzu.1,1500,4,84 x 82,Water cooled,39,21,Diesel,0.46,3.9,432,37,50,3.6,831,45.8
Isuzu.1.1,2000,4,84 x 82,Water cooled,39,21,Diesel,0.4,6.8,423,38,50,3.6,831,45.8
Isuzu.1.2,2500,4,84 x 82,Water cooled,39,21,Diesel,0.34,5.9,439,40,50,3.6,831,45.8
Isuzu.1.3,3000,4,84 x 82,Water cooled,39,21,Diesel,0.22,4.3,473,41,50,3.6,831,45.8
Isuzu.1.4,3500,4,84 x 82,Water cooled,39,21,Diesel,0.18,4.1,481,42,50,3.6,831,45.8
Isuzu.1.5,4000,4,84 x 82,Water cooled,39,21,Diesel,0.11,3.7,497,43,50,3.6,831,45.8
Kirloskar and TAFI,1500,1,87.5 x 110,Water cooled,4.4,17.5,Diesel,0.13,7.3,538,32,49,3.52,821,44.3
Kirloskar-AV1,1500,1,80 x 110,Water cooled,3.72,16.5,Diesel,0.18,6.6,378,92,66,2.25,820,42.5
"Single cylinder, 4-stroke, DI.3",1400,1,105 x 115,Water cooled,11.03,16.5,Diesel,0.14,7.4,499,19,67,2.7,820,42.5
"Single cylinder, 4-stroke, DI.4",1600,1,105 x 115,Water cooled,11.03,16.5,Diesel,0.12,7.6,503,18,67,2.7,820,42.5
"Single cylinder, 4-stroke, DI.5",2000,1,105 x 115,Water cooled,11.03,16.5,Diesel,0.1,7.9,508,16,67,2.7,820,42.5
